,0
Målt konsistens [mm],93.1419853569932
Målt densitet [kg/m3],744.8768668666305
Målt luftinnhold [%],1.575578330701176
Sylinder 28 døgn,7.119933524340297
U0-22 GJENVUNN 332,4.451712636594291
U0-4 BREDING,53.846453618571424
U0-4 VASSFJELL,37.41114534917997
U0-8 BJØRSET,47.36587924139501
U0-8 FORSET,254.32000787880628
U0-8 FORSET 2,200.77928751822483
U16-22 FORSET,192.1738873398107
U16-22 MERAFSTAD,292.38265110531813
U8-16 FORSET,191.06696915699806
U8-16 MEREFSTAD,269.8183462056447
U8-16 MEREFSTAD II,26.453089233002366
UAMEX 11 1:19,1.3017008042210383
UAMEX 11 1:9,1.1329371814290596
UANL FA,56.830840180833185
UBYFERROX 130 RØD,1.1000616177236329
UBYFERROX 960 GUL,0.0
UBYFERROX330C SORT,1.014471868161531
UDELVOCRETE STAB,0.14948094839183437
UDRAMIX 4D 65/60BG,1.7832891138361233
UDRAMIX 4D65/35-BG,3.8666961674974245
UDRAMIX READY,0.0
UDRAMIX RL45/50-BN,3.367249892143379
UFA NORCEM,13.899296327244027
UFA NORCEM K=0,7.925337350676213
UFA NORCEM K=0.4,7.152041467001893
UFA NORCEM K=0.7,26.52164203597495
UFA NORCEM K=1.0,17.58898983380071
UFLYVEASKEB4,4.925480068082575
UGJENBRUKSVANN,7.73637928950627
UGJENBRUKSVANN 332,28.29138021449876
UK-VANN,17.17481454426165
UMASTER CORE 3015,1.3483258311902577
UMASTER EASE 1020,1.7019494306639233
UMASTER EASE 2050,2.0976517790959925
UMASTERLIFE SRA848,0.0
UMASTERLIFE SRA900,0.22877306535669348
UMASTERMATRIX SCC,0.3977459987418482
UMASTERMATRIXFC500,0.0
UMEYCO FIB PP 6M,0.43282657995322343
UMEYCO TCC 735,0.09710809255651673
UMINIBARS BASALT,0.541316083500445
UNATRIUMNITRAT,0.5946244886143385
UPOZZOLITH R 433,0.39594559182121997
URESCON T,0.0
USA,0.25055383101759116
USCHWENK CEM 111/B,35.216437564222815
USILIKA 0,0.5666217475345937
USILIKA 1,7.163640753335824
USILIKA 2,8.83370800645608
USILIKA ELKEM,0.4877877397870992
USTD-FA KJØPSVIK,87.0394834234049
UTESTSAND 0-8,29.304264819689667
UV-VANN,23.502498075648916
UX-SEED,1.7234229772675462
